City,Country,Date,Lng,Lat,Max Temp,Cloudiness,Humidity,Wind Speed
Galesong,ID,1586483419,119.37,-5.32,30.0,20,79,1.0
Malanje,AO,1586483421,16.34,-9.54,18.17,100,71,1.31
Saskylakh,RU,1586483422,114.08,71.92,-3.47,3,92,8.72
Busselton,AU,1586483423,115.33,-33.65,25.0,100,46,4.2
Broken Hill,AU,1586483424,141.43,-31.95,21.0,0,43,5.7
Oktyabrskoye,RU,1586483426,44.74,43.06,3.81,0,55,0.67
Abu Dhabi,AE,1586483293,54.37,24.47,29.0,0,30,1.5
Kodiak,US,1586483428,-152.41,57.79,6.0,1,41,2.6
Antigonish,CA,1586483429,-62.0,45.62,1.11,90,93,4.6
Port Elizabeth,ZA,1586483431,25.57,-33.92,15.0,100,87,1.0
Talnakh,RU,1586483432,88.4,69.49,-6.0,90,92,16.0
Hilo,US,1586483434,-155.09,19.73,27.0,90,65,4.1
Turbiv,UA,1586483436,28.72,49.35,8.41,23,65,4.92
Kihei,US,1586483437,-156.47,20.79,27.0,20,65,5.7
Alofi,NU,1586483438,-169.92,-19.06,29.0,75,79,4.1
Bundaberg,AU,1586483251,152.35,-24.85,26.11,90,88,3.6
Bontang,ID,1586483440,117.5,0.13,29.47,50,71,3.11
Punta Arenas,CL,1586483443,-70.92,-53.15,12.0,40,58,8.7
Sao Joao Da Barra,BR,1586483444,-41.05,-21.64,22.0,96,77,3.08
Adrar,MR,1586483445,-10.07,20.5,24.81,0,15,4.32
Vaini,TO,1586483446,-175.2,-21.2,27.0,20,61,6.7
Jamestown,US,1586483265,-79.24,42.1,1.11,90,100,8.27
Itarema,BR,1586483449,-39.92,-2.92,25.26,72,91,2.2
Cape Town,ZA,1586483156,18.42,-33.93,16.11,82,82,1.0
Albany,US,1586483161,-73.97,42.6,7.0,20,45,7.7
San Jose,US,1586483165,-121.89,37.34,18.0,75,59,1.22
Arraial Do Cabo,BR,1586483454,-42.03,-22.97,23.21,25,71,5.18
Kagoro,NG,1586483457,8.38,9.6,23.3,100,63,0.57
Ushuaia,AR,1586483458,-68.3,-54.8,17.0,100,51,5.1
Mwense,ZM,1586483459,28.7,-10.38,18.84,99,68,2.12
Teguldet,RU,1586483460,88.17,57.31,1.99,100,76,3.16
Xichang,CN,1586483461,102.26,27.9,21.0,3,24,2.83
Kununurra,AU,1586483463,128.73,-15.77,25.0,40,69,6.7
Lorengau,PG,1586483464,147.27,-2.02,29.12,14,73,2.65
Thompson,CA,1586483467,-97.86,55.74,-6.0,5,48,1.5
Inhambane,MZ,1586483468,35.38,-23.86,21.76,68,73,3.85
Avarua,CK,1586483469,-159.78,-21.21,30.0,100,89,4.6
Xining,CN,1586483470,101.77,36.62,9.78,8,17,4.75
Fremont,US,1586483354,-121.99,37.55,18.0,75,72,3.1
East London,ZA,1586483473,27.91,-33.02,20.29,44,61,2.4
Srednekolymsk,RU,1586483474,153.68,67.45,-5.42,97,95,4.89
Codrington,AU,1586483475,141.97,-38.27,18.77,100,61,5.97
Evensk,RU,1586483476,159.23,61.95,-5.57,86,86,1.84
Nanyang,CN,1586483478,112.53,32.99,7.37,100,74,9.27
Mataura,NZ,1586483479,168.86,-46.19,15.56,0,76,6.26
Kapaa,US,1586483481,-159.32,22.08,26.0,90,65,4.1
Rikitea,PF,1586483482,-134.97,-23.12,24.84,100,69,3.31
Anloga,GH,1586483484,0.9,5.79,28.0,20,83,2.6
Paamiut,GL,1586483485,-49.67,61.99,-1.23,100,98,2.92
Vila Velha,BR,1586483249,-40.29,-20.33,21.0,97,94,1.5
Mahebourg,MU,1586483487,57.7,-20.41,26.0,40,78,3.1
Chokurdakh,RU,1586483490,147.92,70.63,-6.85,90,95,7.3
Muskegon,US,1586483411,-86.13,43.3,3.33,1,80,4.6
Port Alfred,ZA,1586483492,26.89,-33.59,20.77,98,60,1.97
Daru,PG,1586483493,143.21,-9.08,27.03,94,82,4.08
Kiruna,SE,1586483494,20.23,67.86,-6.0,12,67,4.1
Charters Towers,AU,1586483497,146.27,-20.1,27.46,95,53,3.75
Puerto Ayora,EC,1586483498,-90.35,-0.74,27.22,7,84,1.2
Radford,US,1586483378,-80.58,37.13,11.0,1,32,9.8
Bredasdorp,ZA,1586483500,20.04,-34.53,13.33,99,58,0.5
Nyurba,RU,1586483502,118.33,63.28,4.99,55,82,4.09
Tasiilaq,GL,1586483503,-37.64,65.61,-3.0,100,53,2.1
Severo-Kurilsk,RU,1586483504,156.12,50.68,-0.31,86,95,3.2
Luganville,VU,1586483505,167.17,-15.53,30.0,40,66,4.6
Hobyo,SO,1586483507,48.53,5.35,27.83,70,64,3.07
High Prairie,CA,1586483508,-116.49,55.43,0.59,100,72,3.36
Salalah,OM,1586483509,54.09,17.02,26.0,40,83,1.0
Road Town,VG,1586483363,-64.62,18.42,27.0,40,74,2.1
Nokaneng,BW,1586483511,22.27,-19.67,18.65,74,67,2.99
Cockburn Town,TC,1586483241,-71.14,21.46,25.25,28,78,2.16
Bo Rai,TH,1586483516,102.54,12.57,28.33,98,89,0.62
Pundaguitan,PH,1586483517,126.17,6.37,27.8,4,75,4.79
Bengkulu,ID,1586483521,102.27,-3.8,30.78,26,60,0.82
Neiafu,TO,1586483522,-173.98,-18.65,26.24,35,77,5.55
Pisco,PE,1586483523,-76.22,-13.7,23.89,10,83,2.6
Ranong,TH,1586483524,98.63,9.97,27.0,96,94,1.5
Jurm,AF,1586483525,70.83,36.86,7.58,19,27,2.71
Butaritari,KI,1586483527,172.79,3.07,29.21,100,77,4.62
Kavieng,PG,1586483528,150.8,-2.57,29.13,17,73,3.24
Sembakung,ID,1586483529,117.25,3.82,29.4,14,75,1.42
Kavaratti,IN,1586483530,72.64,10.57,29.15,2,67,4.72
Newport,GB,1586483507,-3.0,51.59,13.0,100,76,5.7
Verkhoyansk,RU,1586483533,133.38,67.54,2.83,6,88,6.12
Worthington,US,1586483534,-83.02,40.09,6.11,90,45,8.2
Touros,BR,1586483278,-35.46,-5.2,27.0,20,88,1.5
Kirakira,SB,1586483539,161.92,-10.45,29.01,21,72,3.28
General Roca,AR,1586483540,-67.58,-39.03,23.0,0,40,3.6
Bilibino,RU,1586483541,166.44,68.05,-16.71,93,80,0.83
Maniitsoq,GL,1586483543,-52.9,65.42,0.38,78,85,3.73
Haines Junction,CA,1586483544,-137.51,60.75,-3.82,99,84,1.73
Tuktoyaktuk,CA,1586483545,-133.04,69.45,-13.0,75,84,7.2
Hithadhoo,MV,1586483546,73.08,-0.6,28.98,1,68,3.78
Palmer,US,1586483547,-72.33,42.16,6.11,20,48,7.7
Carnarvon,AU,1586483549,113.63,-24.87,28.0,0,65,3.1
Tessalit,ML,1586483550,1.01,20.2,24.94,96,13,1.35
Barrow,US,1586483553,-156.79,71.29,-17.0,1,70,7.2
Qaanaaq,GL,1586483555,-69.36,77.48,-16.55,4,85,2.38
Hasaki,JP,1586483556,140.83,35.73,15.0,20,54,6.2
Hobart,AU,1586483267,147.33,-42.88,20.0,75,42,9.3
Upernavik,GL,1586483558,-56.15,72.79,-10.47,58,87,3.89
Richards Bay,ZA,1586483560,32.04,-28.78,21.41,12,75,8.62
Vermilion,US,1586483561,-87.75,40.17,4.44,1,74,5.1
Brazzaville,CG,1586483371,15.28,-4.27,27.0,75,78,2.1
Lokosovo,RU,1586483564,74.82,61.13,-0.34,22,94,6.01
Saldanha,ZA,1586483565,17.94,-33.01,16.16,100,83,1.96
Mar Del Plata,AR,1586483390,-57.56,-38.0,15.56,75,87,2.97
Chuy,UY,1586483568,-53.46,-33.7,15.24,2,86,3.76
Tayoltita,MX,1586483569,-105.93,24.08,20.58,86,36,0.44
Jiwani,PK,1586483570,61.74,25.05,26.01,0,72,1.96
Torbay,CA,1586483572,-52.73,47.67,-1.11,5,68,5.1
Atuona,PF,1586483573,-139.03,-9.8,27.88,98,80,6.87
San Patricio,MX,1586483574,-104.7,19.22,25.0,20,83,5.1
Bethel,US,1586483575,-73.41,41.37,9.0,1,52,6.7
Fantino,DO,1586483576,-70.3,19.12,15.56,39,1,0.48
Bluff,NZ,1586483298,168.33,-46.6,15.56,24,77,6.26
Tilichiki,RU,1586483579,166.1,60.47,-8.19,0,91,2.2
Abashiri,JP,1586483580,144.27,44.02,0.0,75,97,3.1
Lebu,CL,1586483581,-73.65,-37.62,11.06,79,88,2.2
Saint-Philippe,RE,1586483583,55.77,-21.36,24.0,4,69,2.6
Pevek,RU,1586483584,170.31,69.7,-17.82,84,89,1.99
Sokur,RU,1586483585,83.32,55.21,2.0,30,74,3.0
Lamu,KE,1586483586,40.9,-2.27,27.41,85,80,3.97
Cidreira,BR,1586483588,-50.21,-30.18,16.75,17,83,3.3
Ponta Do Sol,PT,1586483589,-17.1,32.67,18.0,20,77,5.1
Yizheng,CN,1586483590,103.43,24.67,21.11,40,99,6.68
Yellowknife,CA,1586483525,-114.35,62.46,-5.0,90,85,3.1
Tateyama,JP,1586483592,139.87,34.98,16.11,40,62,6.2
Narsaq,GL,1586483593,-46.05,60.92,4.0,100,27,13.9
Nioro,GM,1586483595,-15.75,13.35,22.73,0,41,2.49
Iqaluit,CA,1586483596,-68.51,63.75,-10.0,20,61,1.5
Mazamari,PE,1586483597,-74.53,-11.33,21.92,42,63,0.55
Isangel,VU,1586483600,169.27,-19.55,28.0,20,61,5.1
Namatanai,PG,1586483602,152.43,-3.67,28.49,84,75,2.79
Plettenberg Bay,ZA,1586483603,23.37,-34.05,18.33,100,55,1.75
